airport_code,airport_name,latitude,longitude
ANB,Anniston Regional Airport,33.5882,-85.8581
ANC,Ted Stevens Anchorage International Airport,61.1744,-149.996
AND,Anderson Regional Airport,34.4946,-82.7094
ANE,Angers - Loire Airport,47.5603,-0.312222
ANF,Cerro Moreno International Airport,-23.4445,-70.4451
ANG,Angouleme - Cognac International Airport,45.7292,0.221456
ANI,Aniak Airport,61.5816,-159.543
ANJ,Zanaga Airport,-2.85,13.817
ANK,Etimesgut Air Base,39.9498,32.6886
ANL,Andulo Airport,-11.4723,16.7109
ANM,Antsirabato Airport,-14.9994,50.3202
ANN,Annette Island Airport,55.0424,-131.572
ANO,Angoche Airport,-16.1819,39.9452
ANP,Lee Airport,38.9429,-76.5684
ANQ,Tri-State Steuben County Airport,41.6397,-85.0835
ANR,Antwerp International Airport,51.1894,4.46028
ANS,Andahuaylas Airport,-13.7064,-73.3504
ANU,V. C. Bird International Airport,17.1367,-61.7927
ANV,Anvik Airport,62.6467,-160.191
ANW,Ainsworth Regional Airport,42.5792,-99.993
ANX,Andoya Airport,69.2925,16.1442
ANY,Anthony Municipal Airport,37.1585,-98.0796
ANZ,Angus Downs Airport,-25.0325,132.275
AOA,Aroa Airport,-9.0254,146.8
AOB,Annanberg Airport,-4.90417,144.636
AOC,Leipzig-Altenburg Airport,50.9819,12.5064
AOD,Abou-Deia Airport,11.4773,19.2874
AOE,Anadolu Airport,39.8099,30.5194
AOG,Anshan Teng'ao Airport,41.1053,122.854
AOH,Lima Allen County Airport,40.7069,-84.0267
AOI,Ancona Falconara Airport,43.6163,13.3623
AOJ,Aomori Airport,40.7347,140.691
AOK,Karpathos Island National Airport,35.4214,27.146
AOL,Paso de los Libres Airport,-29.6894,-57.1521
AOM,Adam Airport,22.4919,57.3839
AON,Arona Airport,-6.25,145.967
AOO,Altoona-Blair County Airport,40.2964,-78.32
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,-2.79613,-76.4666
AOR,Sultan Abdul Halim Airport,6.18967,100.398
AOS,Amook Bay Seaplane Base,57.4715,-153.815
AOT,Aosta Valley Airport,45.7385,7.36872
AOU,Attapeu International Airport,14.7931,107.045
APA,Centennial Airport,39.5701,-104.849
APB,Apolo Airport,-14.7356,-68.4119
APC,Napa County Airport,38.2132,-122.281
APF,Naples Municipal Airport,26.1526,-81.7753
APG,Phillips Army Airfield,39.4662,-76.1688
APH,A.P. Hill Army Airfield,38.0689,-77.3183
API,Captain Luis F. Gomez Nino Air Base,4.07607,-73.5627
APK,Apataki Airport,-15.5736,-146.415
APL,Nampula Airport,-15.1056,39.2818
APN,Alpena County Regional Airport,45.0781,-83.5603
APO,Antonio Roldan  Betancourt Airport,7.81196,-76.7164
APP,Asapa Airport,-8.97917,148.104
APQ,Arapiraca Airport,-9.77536,-36.6292
APR,April River Airport,-4.67667,142.54
APS,Anapolis Airport,-16.3623,-48.9271
APT,Marion County Airport (Brown Field),35.0607,-85.5853
APU,Apucarana Airport,-23.6095,-51.3845
APV,Apple Valley Airport,34.5753,-117.186
APW,Faleolo International Airport,-13.83,-172.008
APX,Arapongas Airport,-23.3529,-51.4917
APY,Alto Parnaiba Airport,-9.08361,-45.9506
APZ,Zapala Airport,-38.9755,-70.1136
AQA,Araraquara Airport,-21.812,-48.133
AQB,Quiche Airport,15.0122,-91.1506
AQG,Anqing Tianzhushan Airport,30.5822,117.05
AQI,Al Qaisumah/Hafr Al Batin Airport,28.3352,46.1251
AQJ,King Hussein International Airport,29.6116,35.0181
AQM,Ariquemes Airport,-10.1781,-62.8256
AQP,Rodriguez Ballon International Airport,-16.3411,-71.5831
AQS,Saqani Airport,-16.4494,179.74
AQY,Girdwood Airport,60.9661,-149.126
ARA,Acadiana Regional Airport,30.0378,-91.8839
ARB,Ann Arbor Municipal Airport,42.223,-83.7456
ARC,Arctic Village Airport,68.1147,-145.579
ARD,Alor Island Airport,-8.13234,124.597
ARE,Antonio (Nery) Juarbe Pol Airport,18.45,-66.6753
ARF,Acaricuara Airport,0.533333,-70.1333
ARG,Walnut Ridge Regional Airport,36.1247,-90.9251
ARH,Talagi Airport,64.6003,40.7167
ARI,Chacalluta International Airport,-18.3485,-70.3387
ARJ,Arso Airport,-2.93333,140.783
ARK,Arusha Airport,-3.36779,36.6333
ARL,Arly Airport,11.597,1.483
ARM,Armidale Airport,-30.5281,151.617
ARN,Stockholm Arlanda Airport,59.6519,17.9186
ARO,Arboletes Airport,8.85705,-76.4244
ARP,Aragip Airport,-9.88333,149.483
ARQ,El Troncal Airport,7.02106,-71.3889
ARR,Alto Rio Senguer Airport,-45.0136,-70.8122
ARS,Aragarcas Airport,-15.8994,-52.2411
